GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,PRHPV1_M,"HPV Vaccination program coverage, first dose, males",HPV,HPV Estimates,6295691.0,2101709.0,33.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,PRHPVC_F,"HPV Vaccination program coverage, last dose, females",HPV,HPV Estimates,5940736.0,2786434.0,47.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,PRHPVC_M,"HPV Vaccination program coverage, last dose, males",HPV,HPV Estimates,6295691.0,1423788.0,23.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10619963.0,9854938.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,ROTAC,"Rotavirus, last dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10619963.0,5198919.0,49.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,15HPV1_F,"HPV Vaccination coverage by age 15, first dose, females",HPV,HPV Estimates,5897340.0,3397165.0,58.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,15HPV1_M,"HPV Vaccination coverage by age 15, first dose, males",HPV,HPV Estimates,6250890.0,1773952.0,28.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,15HPVC_F,"HPV Vaccination coverage by age 15, last dose, females",HPV,HPV Estimates,5897340.0,2859046.0,48.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,15HPVC_M,"HPV Vaccination coverage by age 15, last dose, males",HPV,HPV Estimates,6250890.0,1400988.0,22.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,BCG,BCG,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2256368.0,2047378.0,91.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10843073.0,10564849.0,97.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,DTPCV3,"DTP-containing vaccine, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10843073.0,10241535.0,94.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10881214.0,3492201.0,32.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,HEPB3,"HepB, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10843073.0,8106170.0,75.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,HIB3,"Hib, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10843073.0,10148810.0,94.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10843073.0,10138363.0,94.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,11760283.0,10703154.0,91.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,PCV3,"Pneumococcal conjugate vaccine, final dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10843073.0,9408501.0,87.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,POL3,"Polio, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10843073.0,10171189.0,94.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,5897340.0,3183446.0,54.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2018.0,PRHPV1_M,"HPV Vaccination program coverage, first dose, males",HPV,HPV Estimates,6250890.0,1891864.0,30.0
