GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,CASES
WHO_REGIONS,AFR,African Region,1998.0,NTETANUS,Neonatal tetanus,4855.0
WHO_REGIONS,AFR,African Region,1998.0,PERTUSSIS,Pertussis,38961.0
WHO_REGIONS,AFR,African Region,1998.0,POLIO,Poliomyelitis,991.0
WHO_REGIONS,AFR,African Region,1998.0,TTETANUS,Total tetanus,2874.0
WHO_REGIONS,AFR,African Region,1998.0,YFEVER,Yellow fever,33.0
WHO_REGIONS,AFR,African Region,1997.0,DIPHTHERIA,Diphtheria,117.0
WHO_REGIONS,AFR,African Region,1997.0,MEASLES,Measles,299623.0
WHO_REGIONS,AFR,African Region,1997.0,NTETANUS,Neonatal tetanus,3207.0
WHO_REGIONS,AFR,African Region,1997.0,PERTUSSIS,Pertussis,12101.0
WHO_REGIONS,AFR,African Region,1997.0,POLIO,Poliomyelitis,1088.0
WHO_REGIONS,AFR,African Region,1997.0,TTETANUS,Total tetanus,2496.0
WHO_REGIONS,AFR,African Region,1997.0,YFEVER,Yellow fever,47.0
WHO_REGIONS,AFR,African Region,1996.0,DIPHTHERIA,Diphtheria,2282.0
WHO_REGIONS,AFR,African Region,1996.0,MEASLES,Measles,484914.0
WHO_REGIONS,AFR,African Region,1996.0,NTETANUS,Neonatal tetanus,3633.0
WHO_REGIONS,AFR,African Region,1996.0,PERTUSSIS,Pertussis,35382.0
WHO_REGIONS,AFR,African Region,1996.0,POLIO,Poliomyelitis,1949.0
WHO_REGIONS,AFR,African Region,1996.0,TTETANUS,Total tetanus,4634.0
WHO_REGIONS,AFR,African Region,1996.0,YFEVER,Yellow fever,292.0
WHO_REGIONS,AFR,African Region,1995.0,DIPHTHERIA,Diphtheria,229.0
WHO_REGIONS,AFR,African Region,1995.0,MEASLES,Measles,362925.0
WHO_REGIONS,AFR,African Region,1995.0,NTETANUS,Neonatal tetanus,2603.0
WHO_REGIONS,AFR,African Region,1995.0,PERTUSSIS,Pertussis,16274.0
WHO_REGIONS,AFR,African Region,1995.0,POLIO,Poliomyelitis,2198.0
WHO_REGIONS,AFR,African Region,1995.0,TTETANUS,Total tetanus,1322.0
WHO_REGIONS,AFR,African Region,1995.0,YFEVER,Yellow fever,695.0
WHO_REGIONS,AFR,African Region,1994.0,DIPHTHERIA,Diphtheria,1439.0
WHO_REGIONS,AFR,African Region,1994.0,MEASLES,Measles,420193.0
WHO_REGIONS,AFR,African Region,1994.0,NTETANUS,Neonatal tetanus,3977.0
WHO_REGIONS,AFR,African Region,1994.0,PERTUSSIS,Pertussis,25402.0
WHO_REGIONS,AFR,African Region,1994.0,POLIO,Poliomyelitis,1594.0
WHO_REGIONS,AFR,African Region,1994.0,TTETANUS,Total tetanus,1707.0
WHO_REGIONS,AFR,African Region,1994.0,YFEVER,Yellow fever,1351.0
WHO_REGIONS,AFR,African Region,1993.0,DIPHTHERIA,Diphtheria,2357.0
WHO_REGIONS,AFR,African Region,1993.0,MEASLES,Measles,395025.0
